title,original_airdate,production_number,dialogue
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Severe damage. Seven crewmen dead. No, make that six. One  crewman seemed to have recovered. That's when they became interested in  extrasensory perception. More than interested, almost frantic about it.  No, this must be garbled. I get something about destruct. I must have  read it wrong. It sounded like the captain giving an order to destroy  his own ship."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Force field of some kind.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Sensor beam on.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Deflectors full intensity.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Deflectors say there's something there, sensors say there isn't.  Density negative. Radiation negative. Energy negative."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Negative!
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Damage control reports, all stations!"
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Main engines are out, sir. We're on emergency power cells.  Casualties, nine dead."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"I think we've found that answer, Doctor."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Before the Valiant was destroyed, its captain was frantically  searching for ESP information on his crew."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Are there not also those who seem to see through solid objects,  cause fires to start spontaneously?"
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Doctor Dehner is speaking of normal ESP power.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"He's reading even faster now than just a few  moments ago. Is that Gary Mitchell, the one you used to know?"
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Our subject is not Gary Mitchell. Our concern is, rather, what  he is mutating into."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Have you noted evidence of unusual powers?
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"And on my monitor screen I could see Mitchell smiling each time  it happened, as if this ship and crew were almost a toy for his  amusement."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"In less time than that, he will have attained powers we can't  understand and can't cope with. Soon we'll be not only useless to him,  but actually an annoyance."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"We'll never reach an Earth base with him aboard, Jim. You heard  the mathematics of it. In a month he'll have as much in common with us  as we'd have with a ship full of white mice."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Recommendation one. There's a planet a few light days away from  here. Delta Vega. It has a lithium cracking station. We may be able to  adapt some of its power packs to our engines.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,It is the only possible way to get Mitchell off this ship.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Then you have one other choice. Kill Mitchell while you still  can.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"It is your only other choice, assuming you make it while you  still have time."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"The captain of the Valiant probably felt the same way, and he  waited too long to make his decision. I think we've both guessed that."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,He's regaining consciousness.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Fighting the force field drained his strength, for a while at  least. He could be handled now."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,He tried to get through the force field again. His eyes changed  back faster. He didn't become as weak.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Because she feels. I don't. All I know is logic. In my opinion  we'll be lucky if we can repair this ship and get away in time.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,If he should try to stop us
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"I felt for him, too."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,One degree to overlap. Stand by to  photograph. Now.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Negative, Lieutenant. We are the first to reach this far."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Deflectors, full intensity."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Evasive maneuvers, Mister Sulu."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Sound alarm.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Countermand alarm. All engines full stop.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Ahead slow. Steer a course around it, Mister Sulu."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Quite unnecessary to raise your voice, Mister Bailey. All  engines stop. Sound the alert."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"All decks have reported green, Mister Bailey."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,And when the Captain arrives he will expect a full report on
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"It does sound most inconvenient, however. Have you considered  having it removed?"
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Reporting, sir. Sensors show it is solid,  but its composition is unknown to us."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"I believe it adds up to either one of two possibilities. First,  a space buoy of some kind."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Flypaper.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Negative. It would make us appear too weak.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Radiation from the short end of the spectrum increasing.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Radiation increasing.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Radiation nearing the tolerance level.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Radiation at the tolerance level.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Radiation passing the tolerance level, entering lethal zone."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Growing. We can take only a few more seconds of this.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Nothing, Captain. No contacts, no objects in  any direction."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Speculate? No. Logically, we'll discover the intelligence which  sent out the cube."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Probably both, and if you're asking the logical decision to make"
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Has it occurred to you that there's a certain inefficiency in  constantly questioning me on things you've already made up your mind  about?
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Exceptionally strong contact. Not visual  yet. Distant spectrograph. Metallic, similar to cube. Much greater  energy reading."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Tractor beam, Captain. Something's grabbed us, hard."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Fascinating.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Reading goes off my scale, Captain. Must be a mile in diameter."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Captain, we're being invaded by exceptionally strong sensor  probes everywhere. Our electrical systems, our engines."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"They're shutting off some of our systems, Captain. Brilliant.  Extremely sophisticated in their methods."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Enough to warn other Earth ships.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Marker on course. Heading back the way we
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Might be interesting to see what they look like if I can locate  where that voice is coming from.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Switching to screen. I believe I can get something visual.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,I was curious to see how they appeared.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Jim.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,They're certainly aware by now that we're totally incapable of  it.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"In chess, when one is outmatched, the game is over. Checkmate."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"I'm s, I regret that I can find no other logical alternative."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"However, it was well played. I regret not having learned more  about this Balok. In some manner he was reminiscent of my father."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Quite the contrary. She considered herself a very fortunate  Earth woman.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"A very interesting game, this poker."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"I have visual contact, Captain."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,About two thousand metric tons.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Engine systems coming on, Captain."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,Tractor beam again.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,He's sneaked power down a bit.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"We're superheating. Intermix temperature, seven thousand four  hundred degrees. Seven five, seven six, eight thousand degrees."
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Two thousand degrees above maximum. Eight four, eight five,  eight six. She'll blow soon!"
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,That may not be wise. He got a signal through to the mother ship.
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"For it, Captain?"
The  Corbomite Maneuver ,"10 Nov, 1966  ",3,"Captain, request permission to"
Mudd's  Women ,"13 Oct, 1966  ",4,"Difficult to say, Captain. We're getting no registration beam  from it."
Mudd's  Women ,"13 Oct, 1966  ",4,"Sir, he's pushing his engines too hard."
Mudd's  Women ,"13 Oct, 1966  ",4,"Approaching an asteroid belt, Captain. Schiller rating three  five."
Mudd's  Women ,"13 Oct, 1966  ",4,"Sensor reading on the vessel. I make it out as a small class J  cargo ship, and his engines are super-heating."
Mudd's  Women ,"13 Oct, 1966  ",4,How many more in your crew?
Mudd's  Women ,"13 Oct, 1966  ",4,What's wrong?
Mudd's  Women ,"13 Oct, 1966  ",4,It'll take longer on battery power.
Mudd's  Women ,"13 Oct, 1966  ",4,"Curious. You're certain this was everyone aboard, Mister Walsh?  No other crewmen?"
Mudd's  Women ,"13 Oct, 1966  ",4,You can explain that to the Captain.
Mudd's  Women ,"13 Oct, 1966  ",4,Deck twelve.
Mudd's  Women ,"13 Oct, 1966  ",4,"The Commander of the transport to see you, Captain."
Mudd's  Women ,"13 Oct, 1966  ",4,"I'm well aware of that, Mister Scott."
Mudd's  Women ,"13 Oct, 1966  ",4,Better rig a by-pass circuit.
Mudd's  Women ,"13 Oct, 1966  ",4,"Needed on the bridge, Captain."
Mudd's  Women ,"13 Oct, 1966  ",4,The entire ship's power is feeding through  one lithium crystal.
Mudd's  Women ,"13 Oct, 1966  ",4,"And that crystal won't hold up, not pulling all our power  through it."
Mudd's  Women ,"13 Oct, 1966  ",4,"There's a lithium mining operation on Rigel 12. High-grade ore,  I've heard."
Mudd's  Women ,"13 Oct, 1966  ",4,Mister Farrell has the course. Less than two day's travel.
Mudd's  Women ,"13 Oct, 1966  ",4,"Rigel 12, Mister Farrell. You have the course.   Captain's log, Stardate 1329.2. On board the U.S.S.  Enterprise, a ship's hearing is being convened against the transport  vessel's captain. I'm becoming concerned about the almost-hypnotic  effect produced by the women."
Mudd's  Women ,"13 Oct, 1966  ",4,State your name for the record.
Mudd's  Women ,"13 Oct, 1966  ",4,Your correct name.
Mudd's  Women ,"13 Oct, 1966  ",4,State your correct name for the record.
Mudd's  Women ,"13 Oct, 1966  ",4,"Any past offenses, Mister Mudd?"
Mudd's  Women ,"13 Oct, 1966  ",4,"We can sustain this orbit for three days, seven hours."
Mudd's  Women ,"13 Oct, 1966  ",4,"Even burned and cracked, they're beautiful.  Destroying them was a shame."
Mudd's  Women ,"13 Oct, 1966  ",4,"Conserving batteries, sir. Half power."
Mudd's  Women ,"13 Oct, 1966  ",4,"We don't have the time to spare, Captain."
Mudd's  Women ,"13 Oct, 1966  ",4,"The storm is ionising the atmosphere, Captain. Getting difficult  to probe through it."
Mudd's  Women ,"13 Oct, 1966  ",4,"Infrared reading. Check traverse three, grid  zero four zero."
Mudd's  Women ,"13 Oct, 1966  ",4,There's a heat unit operating in there. It could be a cookstove.
Mudd's  Women ,"13 Oct, 1966  ",4,Mudd?
Mudd's  Women ,"13 Oct, 1966  ",4,I'm happy the affair is over. A most annoying emotional episode.
Mudd's  Women ,"13 Oct, 1966  ",4,"The fact that my internal arrangement differs from yours,  Doctor, pleases me no end."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Is there something I can do for you, Captain?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Well, Doctor McCoy seemed to think I should check on you."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Well, our good doctor said that you were acting like a wild man,  demanded brandy."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Hmm. Well, in that case, if you'll excuse the intrusion Captain,  I'll get back to my work."
The  Enemy WIthin ,"6 Oct, 1966 ",5,Captain.
The  Enemy WIthin ,"6 Oct, 1966 ",5,Doctor McCoy reports that you demanded this brandy in Sickbay  and left with it. I found this bottle in Yeoman Rand's quarters.
The  Enemy WIthin ,"6 Oct, 1966 ",5,"You can go now, Yeoman.  There's only one logical  answer. We have an impostor aboard.   Captain's Log, stardate 1672.9. On the planet's  surface, temperatures are beginning to drop, our landing party there in  growing jeopardy. Due to the malfunction of the ship's transporter, an  unexplained duplicate of myself definitely exists."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"About your double, Captain."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"We can't take a chance on killing it. We have no previous  experience, no way of knowing what would happen to you."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"How shall we explain it to them, Captain? The search parties are  to capture you?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,"The search parties, Captain."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Captain, no disrespect intended, but you must surely realise you  can't announce the full truth to the crew. You're the Captain of this  ship. You haven't the right to be vulnerable in the eyes of the crew.  You can't afford the luxury of being anything less than perfect. If you  do, they lose faith, and you lose command."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Understood, Captain.   Captain's Log, stardate 1673.1. Something has  happened to me. Somehow, in being duplicated, I have lost my strength  of will.  Decisions are becoming more and more difficult."
The  Enemy WIthin ,"6 Oct, 1966 ",5,About the phaser weapons to be set for stunning force and  locked.
The  Enemy WIthin ,"6 Oct, 1966 ",5,Thermal heaters were transported down. They duplicated. They  won't operate.
The  Enemy WIthin ,"6 Oct, 1966 ",5,Spock here.
The  Enemy WIthin ,"6 Oct, 1966 ",5,Acknowledged. Continue the search.
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Apparently, this double, however different in temperament, has  your knowledge of the ship, its crew, its devices. This being the case,  perhaps we can outguess him by determining his next move. Knowing how  the ship is laid out, where would you go to elude a mass search?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Set and locked on base cycle to stun, not to  kill. What about your phaser, Captain? Don't you think we ought to get  some help, Captain?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Captain, you ordered me to tell you."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Judging from my observations, Captain, you're rapidly losing the  power of decision."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Yes, always, Doctor. We have here an unusual opportunity to  appraise the human mind, or to examine, in Earth terms,  the roles of good and evil in a man. His negative side, which you call  hostility, lust, violence, and his positive side, which Earth people  express as compassion, love, tenderness."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Yes, and what is it that makes one man an exceptional leader? We  see indications that it's his negative side  which makes him strong, that his evil side, if you will, properly  controlled and disciplined, is vital to his strength. Your negative  side removed from you, the power of command begins to elude you."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"If your power of command continues to weaken, you'll soon be  unable to function as Captain. You must be prepared for that."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"If I seem insensitive to what you're going through, Captain,  understand it's the way I am."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"This is Spock, Mister Sulu. You'll have to  hold on a little longer. There's no other way. Survival procedures,  Mister Sulu."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"We've attached some bypass and leader circuits to compensate for  the difference. Tied directly into the impulse engines, there shouldn't  be more than a five point variation in the velocity balance. I suggest  we send the animal through.  Captain."
The  Enemy WIthin ,"6 Oct, 1966 ",5,It's painless and quick. The animal will be unconscious for only  a few minutes.
The  Enemy WIthin ,"6 Oct, 1966 ",5,Energise. Reverse.
The  Enemy WIthin ,"6 Oct, 1966 ",5,The shock of putting him back together seems to have been too  much for him.
The  Enemy WIthin ,"6 Oct, 1966 ",5,"For once, I agree with you."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"No autopsy is necessary to know that the animal was terrified,  confused. It was split into two halves and suddenly thrust back  together again. Thus shock induced by blind terror."
The  Enemy WIthin ,"6 Oct, 1966 ",5,It couldn't understand. You can. You have your intelligence  controlling your fear.
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Aren't you forgetting something, Captain?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,Your men on the planet surface. How much time do they have left?
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Being split in two halves is no theory with me, Doctor. I have a  human half, you see, as well as an alien half, submerged, constantly at  war with each other. Personal experience, Doctor. I survive it because  my intelligence wins over both, makes them live together. Your  intelligence would enable you to survive as well."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Are you relinquishing your command, Captain?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Captain, I thought the plan   OTHER"
The  Enemy WIthin ,"6 Oct, 1966 ",5,We'll let the captain handle this.   OTHER
The  Enemy WIthin ,"6 Oct, 1966 ",5,"You'll have to hold on to him, Captain."
The  Enemy WIthin ,"6 Oct, 1966 ",5,Captain?
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Understood, Captain."
The  Enemy WIthin ,"6 Oct, 1966 ",5,Ready.
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Right away, Captain."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"All sections report ready, sir."
The  Enemy WIthin ,"6 Oct, 1966 ",5,"Shall I pass that on to the crew, sir?"
The  Enemy WIthin ,"6 Oct, 1966 ",5,"The, er, impostor had some interesting qualities, wouldn't you  say, Yeoman?"
The  Man Trap ,"8 Sep, 1966 ",6,"Miss Uhura, your last sub-space log contained an error in the  frequencies column."
The  Man Trap ,"8 Sep, 1966 ",6,Cry?
The  Man Trap ,"8 Sep, 1966 ",6,"Well, since it is illogical for a communications officer to  resent the word frequency, I have no answer."
The  Man Trap ,"8 Sep, 1966 ",6,"Vulcan has no moon, Miss Uhura."
The  Man Trap ,"8 Sep, 1966 ",6,Bridge acknowledging.
The  Man Trap ,"8 Sep, 1966 ",6,Explain.
The  Man Trap ,"8 Sep, 1966 ",6,"Lieutenant, my demonstration of concern will not change what  happened. The transporter room is very well-manned and they will call  if they need my assistance."
The  Man Trap ,"8 Sep, 1966 ",6,No mistake in our record tapes. Borgia plant. Its sole deadly  property is alkaloid poison.
The  Man Trap ,"8 Sep, 1966 ",6,"Check out perfectly. They arrived here nearly five years ago.  Visited by various vessels, made fairly heavy shipments out, of  artefacts and reports. However, there has been a marked drop in  shipments during the last year."
The  Man Trap ,"8 Sep, 1966 ",6,Fascinating.
The  Man Trap ,"8 Sep, 1966 ",6,Sodium chloride. Not a trace of it.
The  Man Trap ,"8 Sep, 1966 ",6,He would die almost instantly.
The  Man Trap ,"8 Sep, 1966 ",6,"Something odd, Captain. You said two people."
The  Man Trap ,"8 Sep, 1966 ",6,"We get a reading on only one person, probably Crater. He's  circling as if searching for something."
The  Man Trap ,"8 Sep, 1966 ",6,"Yes, sir."
The  Man Trap ,"8 Sep, 1966 ",6,"The simple fact is unless there's something seriously wrong with  the ship's equipment, there's only one person within a one hundred mile  circle."
The  Man Trap ,"8 Sep, 1966 ",6,"Spock cutting in, Captain. Something here, through the arches to  your left."
The  Man Trap ,"8 Sep, 1966 ",6,Green.
The  Man Trap ,"8 Sep, 1966 ",6,Or something did.
The  Man Trap ,"8 Sep, 1966 ",6,Crater knows the creature. If we could take him alive.
The  Man Trap ,"8 Sep, 1966 ",6,"Obviously, taking him alive is going to be difficult."
The  Man Trap ,"8 Sep, 1966 ",6,Why risk your life for his?
The  Man Trap ,"8 Sep, 1966 ",6,Acknowledged. Crater!
The  Man Trap ,"8 Sep, 1966 ",6,The Earth buffalo. What about it?
The  Man Trap ,"8 Sep, 1966 ",6,And now they're gone. Is that what you mean?
The  Man Trap ,"8 Sep, 1966 ",6,Always in the past tense.
The  Man Trap ,"8 Sep, 1966 ",6,"Supplies of salt have been set out as bait at all decks and  engineering levels, Captain. However, no one or nothing has approached  them as yet."
The  Man Trap ,"8 Sep, 1966 ",6,"Your attitude is laudable, Doctor, but your reasoning is  reckless."
The  Man Trap ,"8 Sep, 1966 ",6,"A very interesting hypothesis, Doctor. Briefing room."
The  Man Trap ,"8 Sep, 1966 ",6,"Recommend we use truth serum, Captain."
The  Man Trap ,"8 Sep, 1966 ",6,"I'll accompany you, Doctor."
The  Man Trap ,"8 Sep, 1966 ",6,It wasn't McCoy. It was the creature. It hit me.  Crater grabbed my phaser. I wondered about McCoy. Doubt had crossed my  mind.
The  Man Trap ,"8 Sep, 1966 ",6,"Fortunately, my ancestors spawned in another ocean than yours  did. My blood cells are quite different."
The  Man Trap ,"8 Sep, 1966 ",6,"It's killing the Captain. Shoot it, Doctor, quickly!"
The  Man Trap ,"8 Sep, 1966 ",6,"This is not Nancy.  If she were Nancy,  could she take this?"
The  Man Trap ,"8 Sep, 1966 ",6,"Is that Nancy, Doctor?"
The  Man Trap ,"8 Sep, 1966 ",6,"Something wrong, Captain?"
The  Naked Time ,"29 Sep, 1966 ",7,Check out the life-support systems.
The  Naked Time ,"29 Sep, 1966 ",7,Someone strangled this woman.  TORMOLEN The other four are back there.
The  Naked Time ,"29 Sep, 1966 ",7,Dead?
The  Naked Time ,"29 Sep, 1966 ",7,Engineer at his post?  TORMOLEN He's frozen there like he didn't care.
The  Naked Time ,"29 Sep, 1966 ",7,The rest?
The  Naked Time ,"29 Sep, 1966 ",7,"Be certain we expose ourselves to nothing. Spock here. Do you  read, Enterprise?"
The  Naked Time ,"29 Sep, 1966 ",7,All station personnel are dead.
The  Naked Time ,"29 Sep, 1966 ",7,"Unknown, Captain. It's like nothing we've dealt with before.   Captain's Log: Stardate 1704.2. The science party  we were to have picked up has been found dead. Life support systems had  been turned off. Station personnel, frozen to death. Conditions highly  unusual. Meanwhile, we remain in orbit to complete our mission, close  scientific measurement of the break-up of this planet."
The  Naked Time ,"29 Sep, 1966 ",7,"You received my signal, Mister Scott."
The  Naked Time ,"29 Sep, 1966 ",7,"The readings are perfectly normal for me, Doctor, thank you, and  as for my anatomy being different from yours, I am delighted. Captain."
The  Naked Time ,"29 Sep, 1966 ",7,"I wish I could say, Captain. The circumstances were quite  bizarre, however our record tapes may show us something."
The  Naked Time ,"29 Sep, 1966 ",7,"Next tape, please."
The  Naked Time ,"29 Sep, 1966 ",7,Thank you.
The  Naked Time ,"29 Sep, 1966 ",7,He'd used the computer room as if it were an amusement gallery.
The  Naked Time ,"29 Sep, 1966 ",7,"It could be some form of space madness we've never heard of, but  it would have to be caused by something. Our spectro-readings showed no  contamination, no unusual elements present."
The  Naked Time ,"29 Sep, 1966 ",7,Instruments register only those things they're designed to  register. Space still contains infinite unknowns.
The  Naked Time ,"29 Sep, 1966 ",7,"We will need top efficiency, Captain. It'll be a tricky orbit.  When the planet begins to go, there may be drastic changes in gravity,  mass, magnetic field."
The  Naked Time ,"29 Sep, 1966 ",7,It's beginning. Unusually rapid shifts.
The  Naked Time ,"29 Sep, 1966 ",7,"All scanning stations manned, all recorders functioning, Captain."
The  Naked Time ,"29 Sep, 1966 ",7,"Obviously, this planet is condensing more rapidly than expected.  A valuable study. We may be seeing Earth's distant future. Before its  sun went dark, this planet was remarkably similar to yours."
The  Naked Time ,"29 Sep, 1966 ",7,"Psychiatric file, personality quotients."
The  Naked Time ,"29 Sep, 1966 ",7,"It's doubtful he meant to. He was confused, self-tortured."
The  Naked Time ,"29 Sep, 1966 ",7,His capacity for self-doubt has always been rather high. What  puzzles me is what brought it to the surface with so much force.
The  Naked Time ,"29 Sep, 1966 ",7,"Planet breakup is imminent, Captain. Shrinking in size at an  increasing rate. As the planet continues to shrink in size, its surface  moves away from us."
The  Naked Time ,"29 Sep, 1966 ",7,Exactly. We must be prepared to respond instantly to any sudden  change.
The  Naked Time ,"29 Sep, 1966 ",7,Rate of compaction seems constant.
The  Naked Time ,"29 Sep, 1966 ",7,Acknowledged.
The  Naked Time ,"29 Sep, 1966 ",7,Why isn't Mister Sulu at this station?
